Meinst	Meinst
stahlen	stahlen
Last	Last
weichest	weichest
hinaufgeht	hinaufgeht
trieben	trieben
opfern	opfern
schießen	schießen
wachse	wachse
Sabbatjahr	Sabbatjahr
vertrage	vertrage
machst	machst
Tiefen	Tiefen
rühmest	rühmest
maßen	maßen
borgst	borgst
bringest	bringest
stellst	stellst
fressen	fressen
fließe	fließe
Leuchten	Leuchten
Zäume	Zäume
Wüste	Wüste
webet	webet
Paläste	Paläste
trotze	trotze
Rufen	Rufen
Bahn	Bahn
Schiffe	Schiffe
weisest	weisest
Glauben	Glauben
erlösest	erlösest
verlobt	verlobt
erhörst	erhörst
baust	baust
verdammte	verdammte
habe	habe
baute	baute
Lesen	Lesen
schneiden	schneiden
verziehen	verziehen
aufrichtest	aufrichtest
wehrte	wehrte
Träume	Träume
unterrichten	unterrichten
Pfunde	Pfunde
bracht	bracht
zeigst	zeigst
tiefe	tiefe
vermag	vermag
Loben	Loben
fliege	fliege
wollte	wollte
Königreiche	Königreiche
lebet	lebet
Erstlinge	Erstlinge
betrübst	betrübst
täuschet	täuschet
ausrottest	ausrottest
Ecke	Ecke
zürnet	zürnet
demütiget	demütiget
wild	wild
Taufe	Taufe
Hat	Hat
demütigst	demütigst
Trinket	Trinket
Königen	Königen
handhaben	handhaben
lehrest	lehrest
gute	gute
vertraute	vertraute
aufhebest	aufhebest
fluchten	fluchten
wünschen	wünschen
Wachen	Wachen
vergleiche	vergleiche
jaget	jaget
werden	werden
Gebeinen	Gebeinen
Entsetzet	Entsetzet
Leichnamen	Leichnamen
rufet	rufet
höret	höret
Wert	Wert
tretest	tretest
lehre	lehre
schöpfen	schöpfen
Teile	Teile
begehret	begehret
Kohlen	Kohlen
Decke	Decke
Ringen	Ringen
gibst	gibst
Hure	Hure
beschwert	beschwert
rauschen	rauschen
Enden	Enden
Gehorchet	Gehorchet
Tun	Tun
Schuld	Schuld
schaffe	schaffe
siehst	siehst
steckst	steckst
grün	grün
Wesen	Wesen
fällen	fällen
begehre	begehre
griffe	griffe
fragen	fragen
harret	harret
offenbare	offenbare
prüfst	prüfst
Erde	Erde
setzte	setzte
zeugte	zeugte
Frösche	Frösche
Decket	Decket
Märkten	Märkten
junge	junge
nähre	nähre
könnet	könnet
wollt	wollt
bekehrst	bekehrst
folgen	folgen
pflügen	pflügen
forschen	forschen
hieben	hieben
verunreinigt	verunreinigt
Arme	Arme
Dinge	Dinge
blitzte	blitzte
salz	salz
wachte	wachte
nötig	nötig
gehört	gehört
log	log
anbetest	anbetest
Bleibet	Bleibet
befestigten	befestigten
sprachen	sprachen
umkommst	umkommst
hörest	hörest
heißet	heißet
brenne	brenne
ritten	ritten
Zeug	Zeug
urteilen	urteilen
weinet	weinet
Fallt	Fallt
wehklage	wehklage
murmeln	murmeln
verklärest	verklärest
hörst	hörst
treibest	treibest
Röcke	Röcke
schaffet	schaffet
essen	essen
müsset	müsset
freiwilligen	freiwilligen
holte	holte
Knaben	Knaben
losen	losen
Narren	Narren
verstopften	verstopften
wehklagen	wehklagen
Schläge	Schläge
vereinigt	vereinigt
Vorstädten	Vorstädten
Sägen	Sägen
Aufsätze	Aufsätze
armen	armen
bemühst	bemühst
Meinen	Meinen
führet	führet
Ecken	Ecken
Teppiche	Teppiche
kaufst	kaufst
grüße	grüße
Gefangenen	Gefangenen
Feiertagen	Feiertagen
hebe	hebe
bauest	bauest
aufwachst	aufwachst
Sehet	Sehet
Empörungen	Empörungen
verbannt	verbannt
wollten	wollten
pflanzest	pflanzest
Wache	Wache
aufstand	aufstand
Werk	Werk
erhöhet	erhöhet
schrecken	schrecken
weh	weh
Sprüche	Sprüche
fragst	fragst
fluchte	fluchte
brach	brach
gelangt	gelangt
höhnest	höhnest
sonderte	sonderte
zerstörst	zerstörst
Festen	Festen
lügst	lügst
bewahrest	bewahrest
heulet	heulet
würdest	würdest
Fröschen	Fröschen
Morden	Morden
währte	währte
Werdet	Werdet
bedeckst	bedeckst
kaufest	kaufest
decke	decke
Tanne	Tanne
teilet	teilet
recke	recke
binde	binde
Wege	Wege
bricht	bricht
aufstehet	aufstehet
Bäume	Bäume
säume	säume
eilte	eilte
Auge	Auge
grüßte	grüßte
absagen	absagen
Strafe	Strafe
haut	haut
versagen	versagen
zudeckt	zudeckt
Schenken	Schenken
Fels	Fels
Wehklagen	Wehklagen
taufte	taufte
Zäune	Zäune
Dichten	Dichten
könne	könne
schlagest	schlagest
vierten	vierten
traget	traget
bekehrten	bekehrten
trage	trage
erbet	erbet
Gelobt	Gelobt
rächest	rächest
Bäumen	Bäumen
verwahret	verwahret
Hunde	Hunde
säumet	säumet
War	War
gebet	gebet
spannte	spannte
fällt	fällt
Ordnungen	Ordnungen
teilen	teilen
Füchse	Füchse
Sagen	Sagen
weinen	weinen
Ebene	Ebene
stimmte	stimmte
erlöset	erlöset
hasset	hasset
fresse	fresse
Kühen	Kühen
drücken	drücken
lachen	lachen
anrichten	anrichten
helle	helle
mehret	mehret
frische	frische
Mal	Mal
sagen	sagen
ansehen	ansehen
jagst	jagst
verstanden	verstanden
gelangte	gelangte
erlaubte	erlaubte
nahest	nahest
erhalte	erhalte
wilden	wilden
brachen	brachen
Sehnen	Sehnen
anzeigt	anzeigt
durchbohrt	durchbohrt
Suchet	Suchet
Drachen	Drachen
Gebärde	Gebärde
stoßet	stoßet
Gemeinde	Gemeinde
trinket	trinket
flehst	flehst
liegen	liegen
Löwe	Löwe
lest	lest
zerstreuest	zerstreuest
spannen	spannen
kostet	kostet
Weile	Weile
machet	machet
tragest	tragest
Pflanzungen	Pflanzungen
schenke	schenke
verkehrten	verkehrten
schenkest	schenkest
vergibst	vergibst
tat	tat
fehlen	fehlen
rühmte	rühmte
