Held	Helden	N;NFIN	N;DAT;PL	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
eines	einem	ADJ;ACC;SG	ADJ;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
übrigbleibet	übrigbleibe	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	SRC_LEXICAL_ERROR
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
Meinst	Mein	V;IND;PRS;2;SG	N;NOM;SG	TGT_SLOT_ERROR
enge	eng	V;SBJV;PRS;1;SG	N;NOM;SG	TGT_SLOT_ERROR
Händen	Hände	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
lebet	leben	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
schweigst	schweigen	V;IND;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
pflügte	pflügen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
Gefäßen	Gefäße	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
lösen	lösten	V;NFIN	V;SBJV;PST;3;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
wünschen	wünschst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
fastete	fastetest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
offenbaren	offenbarest	V;NFIN	V;SBJV;PRS;2;SG	C
legen	legt	V;NFIN	V;IND;PRS;2;PL	C
