src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
raamassa,raamasta,0_7,N;IN+ESS;SG,0_17,N;IN+ABL;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
turvasi,turvaksi,0_19,V;ACT;PRS;POS;COND,0_2,ADJ;TRANS;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg - verb;actv;past;p3;sg,n;sg;tra - np;al;sg;tra - n;sg;tra,SRC_SLOT_ERROR;TGT_SLOT_ERROR
tiukuja,tiuku,1_1,V;NFIN,1_11,V;ACT;PRS;POS;IND,n;pl;par,verb;actv;imp;p2;sg - verb;actv;pri;conneg - n;sg;nom,ERR_SRC_SLOT_ERROR
alttarien,alttari,0_0,V;ACT;PRS;POS;IND;1;SG,0_1,ADJ;NOM;SG,n;pl;gen,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ahdistuksia,ahdistuksista,0_3,N;PRT;SG,0_17,N;IN+ABL;SG,n;pl;par,n;pl;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
valittava,valittavat,1_2,V.PTCP;ACT;PRS,1_16,V;ACT;PRS;POS;IND;3;PL,verb;pasv;pprs;pst;sg;nom - verb;actv;pprs;pst;sg;nom - adj;pst;sg;nom,verb;pasv;pprs;pst;pl;nom - verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,MAPPED_POS_PAIR_ERROR
kivien,kiviä,0_0,V;ACT;PRS;POS;IND;1;SG,0_3,N;PRT;SG,n;pl;gen,n;pl;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sivusta,sivulle,0_17,N;IN+ABL;SG,0_6,N;AT+ALL;SG,n;sg;ela - n;sg;nom,n;sg;all - adv;,C
julkeasta,julkea,0_17,N;IN+ABL;SG,0_1,ADJ;NOM;SG,adj;pst;sg;ela,verb;actv;imp;p2;sg - verb;actv;pri;conneg - adj;pst;sg;nom,ERR_SRC_SLOT_ERROR
armosi,armossa,0_19,V;ACT;PRS;POS;COND,0_7,N;IN+ESS;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;ine,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ruuaksi,ruualla,0_2,ADJ;TRANS;SG,0_18,N;AT+ESS;SG,n;sg;tra,n;sg;ade,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
betaniasta,betaniaan,0_17,N;IN+ABL;SG,0_9,N;IN+ALL;SG,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
ussia,ussin,1_21,N;PRT;PL,1_3,V;ACT;PST;POS;IND;1;SG,n;pl;par,n;pl;ins,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
purkaa,purkanut,1_1,V;NFIN,1_7,V;ACT;PST;POS;IND;SG,n;sg;par - verb;actv;infa;pl;lat - verb;actv;infa;sg;lat - verb;actv;pri;p3;sg - verb;actv;imp;p2;pl,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
pekahin,pekahia,1_3,V;ACT;PST;POS;IND;1;SG,1_21,N;PRT;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
tutkija,tutkia,1_1,V;NFIN,1_1,V;NFIN,n;sg;nom,n;pl;par - verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,ERR_SRC_SLOT_ERROR
maallisilla,maallista,1_19,N;AT+ESS;PL,1_1,V;NFIN,adj;pst;pl;ade,adj;pst;sg;par - verb;actv;imp;p2;sg - verb;actv;pri;conneg,ERR_SRC_SLOT_ERROR
jalo,jaloin,0_1,ADJ;NOM;SG,0_15,N;GEN;PL,adj;pst;sg;nom - n;sg;nom,n;pl;ins - adj;pst;pl;ins - adj;sup;sg;nom - n;pl;ins,ERR_SRC_SLOT_ERROR
nebukadnessarin,nebukadnessarille,1_3,V;ACT;PST;POS;IND;1;SG,1_15,N;AT+ALL;PL,n;sg;gen,n;sg;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
esipihaa,esipihan,0_3,N;PRT;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;par,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
laumaa,laumamme,0_3,N;PRT;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;sg;par,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vahingosta,vahingon,0_17,N;IN+ABL;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;ela,n;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
