src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
περιφρονήσῃ,περιφρονῆτε,2_18,?,2_9,?
γυναικῶν,γυναικός,2_24,?,2_22,ADJ;NOM;SG;MASC
παραμένω,παραμένεις,1_8,V;1;SG;IPFV;PRS,1_6,V;2;SG;IPFV;PRS
πανδρευθῇ,πανδρευθοῦν,2_2,?,2_3,?
στενὸς,στενὸν,2_21,?,2_4,?
βάλε,βάλουν,1_11,V;2;SG;IMP,1_5,?
θεωρῶ,θεωρῆτε,2_7,?,2_9,?
ἰουδαϊκόν,ἰουδαϊκὸν,2_13,ADJ;NOM;SG;NEUT,2_4,?
σεβασμός,σεβασμίαν,2_22,ADJ;NOM;SG;MASC,2_23,?
ἔδωσαν,ἔδωσε,0_5,?,0_12,V;3;SG;PFV;PST
θεὸν,θεός,2_4,?,2_22,ADJ;NOM;SG;MASC
λάβετε,λάβῃ,1_3,V;2;PL;IMP,1_4,?
ἀναβλέψῃς,ἀναβλέψῃ,1_2,?,1_4,?
θαυμάζουν,θαυμάζων,1_5,?,1_9,?
κρατοῦν,κρατῶ,2_3,?,2_7,?
οἰκοδομὴ,οἰκοδομήσῃ,2_20,?,2_18,?
περιουσίαν,περιουσία,0_5,?,0_0,N;ACC;SG
γεωργὸς,γεωργοὶ,2_21,?,2_19,?
κάνωμεν,κάνετε,1_7,?,1_3,V;2;PL;IMP
ὅλο,ὅλες,0_10,ADJ;VOC;SG;NEUT,0_9,N;NOM;PL
ἐκάλεσε,ἐκάλεσαν,0_12,V;3;SG;PFV;PST,0_5,?
πρῶτος,πρῶτο,0_2,N;NOM;SG,0_10,ADJ;VOC;SG;NEUT
παλαιὰ,παλαιὸς,2_1,?,2_21,?
φωνῆς,φωνὴ,2_5,?,2_20,?
κηρύσσεται,κηρύσσομεν,1_1,ADJ;VOC;PL;FEM;SPRL;AB,1_0,?
αὐτῶν,αὐτοὺς,2_24,?,2_15,?
βέβαιος,βέβαιοι,0_2,N;NOM;SG,0_13,ADJ;NOM;PL;MASC
πονηρίας,πονηροῦ,2_11,V;2;PL;IPFV;PST,2_17,?
λαμβάνομεν,λαμβάνει,1_0,?,1_10,V;3;SG;IPFV;PRS
ὑπομονητικός,ὑπομονητικὸς,2_22,ADJ;NOM;SG;MASC,2_21,?
ἐλεημοσύνες,ἐλεημοσύνην,0_9,N;NOM;PL,0_4,?
ἰατροὺς,ἰατρὸν,2_15,?,2_4,?
πόσες,πόσον,0_9,N;NOM;PL,0_1,?
βοηθὸν,βοηθήσῃ,2_4,?,2_18,?
περιμένουν,περιμένομεν,1_5,?,1_0,?
ἰσραηλιτικὸς,ἰσραηλιτικὴν,2_21,?,2_12,?
ἱκανοὶ,ἱκανὸς,2_19,?,2_21,?
πάρε,πάρει,1_11,V;2;SG;IMP,1_10,V;3;SG;IPFV;PRS
ἐδιάλεξες,ἐδιάλεξα,0_9,N;NOM;PL,0_0,N;ACC;SG
τούτους,τούτων,0_7,ADJ;ACC;PL;MASC,0_8,N;GEN;PL
ἐπέστρεφε,ἐπέστρεφαν,0_12,V;3;SG;PFV;PST,0_5,?
προσπεράσωμεν,προσπεράσῃ,1_7,?,1_4,?
πρώτων,πρώτη,0_8,N;GEN;PL,0_14,ADJ;NOM;SG;FEM
ἔχει,ἔχε,1_10,V;3;SG;IPFV;PRS,1_11,V;2;SG;IMP
ζαχαρίαν,ζαχαρίας,0_5,?,0_11,N;GEN;SG
ἔδειξα,ἔδειξε,0_0,N;ACC;SG,0_12,V;3;SG;PFV;PST
πάρει,πάρε,1_10,V;3;SG;IPFV;PRS,1_11,V;2;SG;IMP
χρόνος,χρόνον,0_2,N;NOM;SG,0_1,?
γράψῃς,γράψε,1_2,?,1_11,V;2;SG;IMP
προσφέρουν,προσφέρεται,1_5,?,1_1,ADJ;VOC;PL;FEM;SPRL;AB
κάποιος,κάποιαν,0_2,N;NOM;SG,0_5,?
γεμᾶτο,γεμᾶτες,0_10,ADJ;VOC;SG;NEUT,0_9,N;NOM;PL
ἀγαπητόν,ἀγαπητός,2_13,ADJ;NOM;SG;NEUT,2_22,ADJ;NOM;SG;MASC
ἁλωνίζει,ἁλωνίζῃ,1_10,V;3;SG;IPFV;PRS,1_4,?
ἁμαρτωλὴν,ἁμαρτωλοί,2_12,?,2_6,ADJ;VOC;PL;MASC
κακόν,κακοί,2_13,ADJ;NOM;SG;NEUT,2_6,ADJ;VOC;PL;MASC
ἔχουν,ἔχων,1_5,?,1_9,?
ἀδελφοὶ,ἀδελφοῦ,2_19,?,2_17,?
παρεισέφρυσαν,παρεισέφρυσε,0_5,?,0_12,V;3;SG;PFV;PST
περιφρονήσῃ,περιφρονῇ,2_18,?,2_2,?
παρηγορήσῃ,παρηγορίας,2_18,?,2_11,V;2;PL;IPFV;PST
προσηλωμένον,προσηλωμένα,0_1,?,0_0,N;ACC;SG
σημερινὴν,σημερινὸν,2_12,?,2_4,?
ἐξωτερικά,ἐξωτερική,2_14,N;ACC;PL,2_0,N;VOC;SG
πνευματικόν,πνευματικὸς,2_13,ADJ;NOM;SG;NEUT,2_21,?
περιτμημένων,περιτμημένοι,0_8,N;GEN;PL,0_13,ADJ;NOM;PL;MASC
δῶρά,δῶρον,0_3,?,0_1,?
πραγματικοὶ,πραγματικὸν,2_19,?,2_4,?
μαρτυρεῖ,μαρτυροῦν,2_8,?,2_3,?
ἐπιθυμίαν,ἐπιθυμῶ,2_23,?,2_7,?
λόγων,λόγους,0_8,N;GEN;PL,0_7,ADJ;ACC;PL;MASC
δοξάζωμεν,δοξάζεται,1_7,?,1_1,ADJ;VOC;PL;FEM;SPRL;AB
λίγες,λίγη,0_9,N;NOM;PL,0_14,ADJ;NOM;SG;FEM
ἔστειλες,ἔστειλαν,0_9,N;NOM;PL,0_5,?
ὅλες,ὅλου,0_9,N;NOM;PL,0_15,ADJ;GEN;SG;NEUT
θρησκεία,θρησκείαν,0_0,N;ACC;SG,0_5,?
καρποῦ,καρπῶν,2_17,?,2_24,?
διδάσκῃ,διδάσκουν,1_4,?,1_5,?
πόρνες,πόρνοι,0_9,N;NOM;PL,0_13,ADJ;NOM;PL;MASC
γλῶσσα,γλῶσσά,0_0,N;ACC;SG,0_3,?
λαοῦ,λαοί,2_17,?,2_6,ADJ;VOC;PL;MASC
ζωοποιεῖ,ζωοποιήσῃ,2_8,?,2_18,?
καλοὺς,καλὸς,2_15,?,2_21,?
ραδιουργίαν,ραδιουργίαι,0_1,?,0_6,N;VOC;PL
ἀκολουθεῖ,ἀκολουθήσῃ,2_8,?,2_18,?
περιτομῆς,περιτομὴν,2_5,?,2_12,?
ξέρομεν,ξέρῃ,1_0,?,1_4,?
περισσότερα,περισσότεροι,0_0,N;ACC;SG,0_13,ADJ;NOM;PL;MASC
κακοί,κακά,2_6,ADJ;VOC;PL;MASC,2_14,N;ACC;PL
πέτρα,πέτρον,0_0,N;ACC;SG,0_1,?
ἔκλεισα,ἔκλεισαν,0_0,N;ACC;SG,0_5,?
γνωστὸς,γνωστός,2_21,?,2_22,ADJ;NOM;SG;MASC
θεραπεύει,θεραπεύουν,1_10,V;3;SG;IPFV;PRS,1_5,?
πνεύματι,πνεύματα,0_6,N;VOC;PL,0_0,N;ACC;SG
γνωρίσουν,γνωρίσετε,1_5,?,1_3,V;2;PL;IMP
πέτρε,πέτρες,0_12,V;3;SG;PFV;PST,0_9,N;NOM;PL
μετέχουν,μετέχῃ,1_5,?,1_4,?
προξενῇ,προξενήσῃ,2_2,?,2_18,?
γεμᾶτοι,γεμᾶτος,0_13,ADJ;NOM;PL;MASC,0_2,N;NOM;SG
ἁμαρτωλῶν,ἁμαρτωλός,2_24,?,2_22,ADJ;NOM;SG;MASC
κατάρες,κατάρα,0_9,N;NOM;PL,0_0,N;ACC;SG
τυφλοὺς,τυφλὸν,2_15,?,2_4,?
αὐτοὶ,αὐτοῦ,2_19,?,2_17,?
ἐθνικός,ἐθνικοί,2_22,ADJ;NOM;SG;MASC,2_6,ADJ;VOC;PL;MASC
ναοῦ,ναός,2_17,?,2_22,ADJ;NOM;SG;MASC
τελευταῖοι,τελευταῖον,0_13,ADJ;NOM;PL;MASC,0_1,?
εὐεργετῆτε,εὐεργετῶν,2_9,?,2_24,?
φέρετε,φέρει,1_3,V;2;PL;IMP,1_10,V;3;SG;IPFV;PRS
λαβαίνεις,λαβαίνω,1_6,V;2;SG;IPFV;PRS,1_8,V;1;SG;IPFV;PRS
τελεία,τελείους,0_0,N;ACC;SG,0_7,ADJ;ACC;PL;MASC
ἀληθινά,ἀληθινός,2_14,N;ACC;PL,2_22,ADJ;NOM;SG;MASC
δίνεις,δίνετε,1_6,V;2;SG;IPFV;PRS,1_3,V;2;PL;IMP
σύρουν,σύρων,1_5,?,1_9,?
ἐξωτερικόν,ἐξωτερικὰ,2_13,ADJ;NOM;SG;NEUT,2_1,?
ναοὺς,ναὸς,2_15,?,2_21,?
ἐρώτησε,ἐρώτησα,0_12,V;3;SG;PFV;PST,0_0,N;ACC;SG
