Bärte	Bär	V;SBJV;PST;1;SG	N;NOM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
ratschlagten	ratschlagen	V;SBJV;PST;3;PL	N;DAT;PL	SRC_LEXICAL_ERROR
wurde	wurdet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Knaben	Knabe	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
jeder	jede	ADJ;GEN;SG	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
drückte	drücken	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
Kleinoden	Kleinode	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
traget	tragen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
schöpfte	schöpfen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
entgegenkamst	entgegenkamen	V;IND;PRS;2;SG	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
erzeigest	erzeigen	V;SBJV;PRS;2;SG	N;DAT;PL	SRC_LEXICAL_ERROR
streute	streuen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
Einen	Eine	N;DAT;PL	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
haltest	halt	V;SBJV;PRS;2;SG	N;NOM;SG	POS_PAIR_ERROR
erkannte	erkanntet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Rechten	Recht	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
weist	weisen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
ziert	zieren	V;IND;PRS;2;PL	N;DAT;PL	TGT_SLOT_ERROR
lachte	lachen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
Seinen	Seines	N;DAT;PL	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Armen	Arme	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
Dingen	Dinge	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
schauest	schau	V;SBJV;PRS;2;SG	N;NOM;SG	POS_PAIR_ERROR
Tust	Tun	V;IND;PRS;2;SG	N;DAT;PL	TGT_SLOT_ERROR
jeden	jeder	N;DAT;PL	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
schauet	schauen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
teilte	teilen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
linken	linke	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
solche	solcher	V;SBJV;PRS;1;SG	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Kriegsknechten	Kriegsknechte	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
unsere	unseres	V;SBJV;PRS;1;SG	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Meinet	Meinem	V;SBJV;PRS;2;PL	ADJ;DAT;SG	POS_PAIR_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
wache	wach	V;SBJV;PRS;1;SG	N;NOM;SG	TGT_SLOT_ERROR
Heuschrecken	Heuschrecke	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
würden	würdet	N;DAT;PL	V;SBJV;PRS;2;PL	TGT_SLOT_ERROR
zeuget	zeugen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
habt	haben	V;IND;PRS;2;PL	N;DAT;PL	TGT_SLOT_ERROR
Ihren	Ihre	N;DAT;PL	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
warst	warte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
erzeigest	erzeigt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	SRC_LEXICAL_ERROR
meinem	mein	ADJ;DAT;SG	N;NOM;SG	SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
batet	bat	V;SBJV;PRS;2;PL	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
