src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
котлом,котлу,2_14,2_19,n;m;nn;sg;ins,n;m;nn;sg;dat,C
равниною,равнин,2_4,2_18,n;f;nn;sg;ins,n;f;nn;pl;gen,C
жилищам,жилище,2_11,2_0,n;nt;nn;pl;dat - n;f;nn;pl;dat,n;nt;nn;sg;nom - n;nt;nn;sg;acc - n;nt;nn;sg;prp - n;f;nn;sg;dat - n;f;nn;sg;prp,C
жертвеннике,жертвенников,2_0,2_1,n;m;nn;sg;prp,n;m;nn;pl;gen,C
утешился,утешает,0_18,0_14,verb;perf;iv;past;m;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,PARADIGM_ERROR
холмов,холм,2_1,2_18,n;m;nn;pl;gen,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,C
розга,розги,2_6,2_3,n;f;nn;sg;nom,n;f;nn;sg;gen - n;f;nn;pl;acc - n;f;nn;pl;nom,C
пороки,пороками,2_3,2_17,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;pl;ins,C
угождении,угождение,0_5,0_7,n;nt;nn;sg;prp,n;nt;nn;sg;nom - n;nt;nn;sg;acc,C
Тит,Тита,2_18,2_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ночные,ночное,0_21,0_3,n;nt;nn;pl;acc - n;nt;nn;pl;nom - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,n;nt;nn;sg;acc - n;nt;nn;sg;nom - adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
раздавить,раздавал,0_31,0_4,verb;perf;tv;inf - verb;perf;iv;inf,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,PARADIGM_ERROR
умышляли,умышляют,1_6,1_0,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,C
пропустил,пропустил,1_4,1_4,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
идут,идете,1_0,1_19,verb;impf;iv;pres;p3;pl,verb;impf;iv;pres;p2;pl,C
Ноеминь,Ноемини,1_1,1_22,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
свидетелей,свидетелем,1_18,1_13,n;m;aa;pl;gen - n;m;aa;pl;acc,n;m;aa;sg;ins,C
