fórnuðu	fórnuðu
skrifar	skrifar
áhrifið	áhrifið
hrætt	hrætt
bíóinu	bíóinu
aldir	aldir
klæðum	klæðum
fundanna	fundanna
aðdáendurna	aðdáendurna
félaganna	félaganna
flettir	flettir
drekktu	drekktu
hrææta	hrææta
efldu	efldu
skrifi	skrifi
hlátri	hlátri
klekkti	klekkti
verða	verða
pipars	pipars
víddunum	víddunum
færir	færir
leikmannanna	leikmannanna
hneykið	hneykið
drepur	drepur
zetu	zetu
handrits	handrits
skeifa	skeifa
blóðflögur	blóðflögur
þenjum	þenjum
ergir	ergir
steikinni	steikinni
lausnin	lausnin
æxlanir	æxlanir
mörkunum	mörkunum
óskaði	óskaði
fé	fé
bæjasvöluna	bæjasvöluna
sífrar	sífrar
hornum	hornum
sátu	sátu
freista	freista
krældi	krældi
reyndi	reyndi
áfrýjandi	áfrýjandi
hæsi	hæsi
gráða	gráða
verslið	verslið
straumurinn	straumurinn
háls	háls
skutum	skutum
æðardúni	æðardúni
kúrdísku	kúrdísku
jónirnar	jónirnar
stækjunnar	stækjunnar
dæma	dæma
gylturnar	gylturnar
tind	tind
skytum	skytum
treysta	treysta
bullið	bullið
korpöndunum	korpöndunum
eiginmönnum	eiginmönnum
skottulækni	skottulækni
bolir	bolir
skipi	skipi
bliku	bliku
krakkið	krakkið
skýra	skýra
vanræk	vanræk
þéruðu	þéruðu
minnkaðir	minnkaðir
fóstrunum	fóstrunum
drottnaðir	drottnaðir
staðinn	staðinn
korkunum	korkunum
tröllkonu	tröllkonu
hreppa	hreppa
varalit	varalit
vekjum	vekjum
spurninga	spurninga
leyfið	leyfið
poka	poka
árósa	árósa
klippti	klippti
vínguðinum	vínguðinum
sviti	sviti
íveru	íveru
skírðu	skírðu
reyknum	reyknum
saumi	saumi
húsfrúna	húsfrúna
eigandann	eigandann
fegrað	fegrað
fýri	fýri
ofurstinn	ofurstinn
afrit	afrit
belti	belti
Jótlandið	Jótlandið
líks	líks
valdið	valdið
skíri	skíri
gaffallinn	gaffallinn
heddunum	heddunum
blikunum	blikunum
þarfaþingið	þarfaþingið
guðspjallamaðurinn	guðspjallamaðurinn
firði	firði
maurs	maurs
furunum	furunum
meta	meta
hrifsaðir	hrifsaðir
ást	ást
indefinite	indefinite
risa	risa
morgnunum	morgnunum
minnkaði	minnkaði
krókus	krókus
tálvonin	tálvonin
nota	nota
káetan	káetan
akademíu	akademíu
viskíi	viskíi
jötunuxann	jötunuxann
hnéskel	hnéskel
fleygi	fleygi
klæðin	klæðin
skírir	skírir
geirfuglinn	geirfuglinn
eldpipar	eldpipar
gildi	gildi
lessa	lessa
skírin	skírin
hafði	hafði
kastandi	kastandi
glatt	glatt
laxins	laxins
eindar	eindar
líkamana	líkamana
hjartarsaltið	hjartarsaltið
köstuðum	köstuðum
metið	metið
gagntekur	gagntekur
bumbubúum	bumbubúum
eyrunum	eyrunum
flokksins	flokksins
þægindi	þægindi
tígrisdýrs	tígrisdýrs
sóða	sóða
félaganum	félaganum
plasta	plasta
fórnum	fórnum
samtengingin	samtengingin
slepp	slepp
japönskunni	japönskunni
verðs	verðs
gjaldið	gjaldið
ölum	ölum
dúkur	dúkur
geddu	geddu
sjálfsmyndina	sjálfsmyndina
glásum	glásum
greinanna	greinanna
kinn	kinn
áhugamálið	áhugamálið
sæbjúgað	sæbjúgað
byggðum	byggðum
afætuna	afætuna
kviðunni	kviðunni
sósublettanna	sósublettanna
svikarar	svikarar
æðarblika	æðarblika
færum	færum
