Tyrann	Tyrann
steig	steig
Höfen	Höfen
wehrte	wehrte
wohnet	wohnet
Sternen	Sternen
Sagte	Sagte
Nehmt	Nehmt
elften	elften
labe	labe
bereitet	bereitet
Knabe	Knabe
weise	weise
Lobe	Lobe
nehmt	nehmt
Schafen	Schafen
laufet	laufet
schreckt	schreckt
jauchzte	jauchzte
feiert	feiert
löset	löset
wünsche	wünsche
Händen	Händen
dienest	dienest
anhangt	anhangt
tote	tote
gehörst	gehörst
ausfuhr	ausfuhr
kurze	kurze
hinausgehst	hinausgehst
träge	träge
reichen	reichen
gebt	gebt
freute	freute
Söhne	Söhne
Einem	Einem
setzet	setzet
hure	hure
Wehret	Wehret
abweichest	abweichest
trieb	trieb
pflanzet	pflanzet
wog	wog
Weiche	Weiche
Götze	Götze
fülle	fülle
wurden	wurden
erweckt	erweckt
recke	recke
Neumonde	Neumonde
Testamente	Testamente
schöpfest	schöpfest
tuest	tuest
Hälsen	Hälsen
eile	eile
schlafe	schlafe
Frösche	Frösche
Kleinode	Kleinode
vertrage	vertrage
fallest	fallest
verderbest	verderbest
schöpfen	schöpfen
losen	losen
verstört	verstört
anruft	anruft
Anfechtungen	Anfechtungen
stirbt	stirbt
Laufet	Laufet
stiften	stiften
zwölfte	zwölfte
schämst	schämst
Huren	Huren
schätze	schätze
Staub	Staub
Säuen	Säuen
aufrichte	aufrichte
steinigest	steinigest
trinkst	trinkst
Propheten	Propheten
fertigte	fertigte
Tiefe	Tiefe
taufen	taufen
auflöste	auflöste
Beinen	Beinen
Merke	Merke
liebet	liebet
Meinst	Meinst
Schilde	Schilde
Friede	Friede
scheue	scheue
übte	übte
Ängste	Ängste
Sagen	Sagen
Herrn	Herrn
vereinigte	vereinigte
steinigst	steinigst
befehlen	befehlen
schlagt	schlagt
gehorchten	gehorchten
zuteil	zuteil
brennen	brennen
mühe	mühe
wiederkamen	wiederkamen
beißt	beißt
Zäune	Zäune
Hälse	Hälse
Vorhäute	Vorhäute
Kaufleuten	Kaufleuten
möge	möge
verzehrt	verzehrt
sitzet	sitzet
Teppiche	Teppiche
Schlägen	Schlägen
Schwelle	Schwelle
Wüsten	Wüsten
empörten	empörten
streite	streite
stolze	stolze
diente	diente
scheinet	scheinet
Schauet	Schauet
Stücken	Stücken
widerstanden	widerstanden
siehst	siehst
Buben	Buben
betrügen	betrügen
griff	griff
Predigten	Predigten
seht	seht
Enden	Enden
verlaßt	verlaßt
nachwandelt	nachwandelt
Fällt	Fällt
wehren	wehren
ernten	ernten
Drachen	Drachen
scheu	scheu
aufhebt	aufhebt
tobst	tobst
pflanzen	pflanzen
Basilisken	Basilisken
reichet	reichet
kennet	kennet
verhalten	verhalten
sage	sage
bedeckst	bedeckst
trinket	trinket
Säcke	Säcke
Füchse	Füchse
Rühmst	Rühmst
küssen	küssen
wünschte	wünschte
Hecke	Hecke
trefft	trefft
Mäusen	Mäusen
fremde	fremde
erhöhest	erhöhest
fangt	fangt
lade	lade
absagt	absagt
weichest	weichest
spiele	spiele
euren	euren
berufe	berufe
schrecken	schrecken
