сама	само	N;GEN;SG	N;ESS;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
язык	языки	N;NFIN	N;ACC;INAN;PL	C
жилище	жилища	N;NFIN	N;NOM;PL	C
служите	служила	V;FUT;2;PL	V;PST;SG;FEM	C
светить	светило	V;NFIN	V;PST;SG;NEUT	C
будем	будь	V;PRS;1;PL	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
похвалили	похвалился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
хоронили	хоронить	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
служанке	служанкою	N;ESS;SG	ADJ;INS;FEM;SG	TGT_SLOT_ERROR
растить	растишь	V;NFIN	V;PRS;2;SG	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
старых	старого	N;GEN;PL	ADJ;GEN;MASC;SG	C
созвали	созвать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
вынеси	вынесли	N;ACC;PL	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
тверд	твердой	N;NOM;SG	ADJ;ESS;FEM;SG	C
скрытый	скрыты	ADJ;NFIN	ADJ;PL;LGSPEC1	C
убийство	убийство	N;NFIN	N;NOM;SG	C
сердечный	сердечном	ADJ;NFIN	ADJ;ESS;MASC;SG	C
одолела	одолеть	ADJ;FEM;SG;LGSPEC1	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
тьмы	тьмою	N;NOM;PL	ADJ;INS;FEM;SG	TGT_SLOT_ERROR
язва	язве	N;NFIN	N;DAT;SG	C
поправить	поправил	V;NFIN	V;PST;SG;MASC	C
которым	которой	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
как	каков	N;NOM;SG	N;GEN;PL	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
худо	худ	N;ESS;SG	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
возносить	возношу	V;NFIN	V;PRS;1;SG	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
первого	первом	ADJ;GEN;MASC;SG	N;INS;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
пострадал	пострадать	ADJ;MASC;SG;LGSPEC1	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
петь	поют	V;NFIN	V;PRS;3;PL	C
избирай	избирали	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
мертвых	мертвый	N;GEN;PL	ADJ;ACC;MASC;SG	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
померкло	померкли	V;PST;SG;NEUT	V.CVB	TGT_SLOT_ERROR
Которой	Которым	ADJ;ESS;FEM;SG	ADJ;INS;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
губить	губишь	V;NFIN	V;PRS;2;SG	C
долгий	долог	ADJ;NFIN	ADJ;MASC;SG;LGSPEC1	C
малого	мало	ADJ;GEN;MASC;SG	N;ESS;SG	TGT_SLOT_ERROR
хулить	хулят	V;NFIN	V;PRS;3;PL	C
сторож	сторожам	N;NFIN	N;DAT;PL	C
выпросился	выпросили	V;PST;SG;MASC	V;PST;PL	PARADIGM_ERROR
познай	познали	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
потерпела	потерпели	N;GEN;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
восходите	восходить	V;FUT;2;PL	V;NFIN	C
постигли	постиг	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
кадите	кадила	V;FUT;2;PL	V;PST;SG;FEM	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
отнятых	отнят	N;GEN;PL	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
царях	царю	V;2;PL	V;PRS;1;SG	C
садите	сади	V;FUT;2;PL	V;IMP;2;SG	C
напоены	напоила	ADJ;PL;LGSPEC1	V;PST;SG;FEM	C
раздирайте	раздирать	V;IMP;2;PL	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
избранным	избранных	ADJ;INS;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
разорить	разорите	V;NFIN	V;IMP;2;PL	C
решился	реши	V;PST;SG;MASC	V;IMP;2;SG	PARADIGM_ERROR
рассказывай	рассказывайте	N;ACC;SG	V;IMP;2;PL	C
пожалеть	пожалело	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
жилище	жилища	N;NFIN	N;NOM;PL	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
последовала	последовали	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
бросить	бросим	V;NFIN	V;FUT;1;PL	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
соделай	соделать	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_LEXICAL_ERROR
принять	приняли	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
будут	будем	V;FUT;3;PL	V;PRS;1;PL	TGT_SLOT_ERROR
святую	святых	ADJ;ACC;FEM;SG	N;GEN;PL	C
жилище	жилища	N;NFIN	N;NOM;PL	C
далёкий	далёкая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
вдовою	вдовы	ADJ;INS;FEM;SG	N;NOM;PL	C
раскрытый	раскрытая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
захватить	захватило	V;NFIN	V;PST;SG;NEUT	C
нашли	наши	V.CVB	N;ACC;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
поговорив	поговорить	V.CVB;PST	V;NFIN	C
поя	пола	V.CVB;PRS	ADJ;FEM;SG;LGSPEC1	POS_PAIR_ERROR
сердечный	сердечном	ADJ;NFIN	ADJ;ESS;MASC;SG	C
желала	желали	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
творили	творите	V;PST;PL	V;FUT;2;PL	TGT_SLOT_ERROR
спросить	спроси	V;NFIN	V;IMP;2;SG	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
скрытый	скрыты	ADJ;NFIN	ADJ;PL;LGSPEC1	C
берем	бери	V;PRS;1;PL	N;ACC;PL	TGT_SLOT_ERROR
возьму	возьмете	V;PRS;1;SG	V;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
язык	языки	N;NFIN	N;ACC;INAN;PL	C
решился	решите	V;PST;SG;MASC	V;FUT;2;PL	PARADIGM_ERROR
молодого	молодых	ADJ;GEN;MASC;SG	N;GEN;PL	C
нечистоту	нечистоте	N;DAT;SG	N;ESS;SG	C
столп	столпе	N;NFIN	N;ESS;SG	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
показывали	показывай	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
спросить	спроси	V;NFIN	V;IMP;2;SG	C
приготовили	приготовился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
белом	белою	N;INS;SG	ADJ;INS;FEM;SG	C
язва	язве	N;NFIN	N;DAT;SG	C
наполните	наполнился	V;FUT;2;PL	V;PST;SG;MASC	PARADIGM_ERROR
возвестить	возвестите	V;NFIN	V;IMP;2;PL	C
скрывала	скрывайте	ADJ;FEM;SG;LGSPEC1	V;IMP;2;PL	C
самом	сам	N;INS;SG	N;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
спросить	спроси	V;NFIN	V;IMP;2;SG	C
прославили	прославился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
обручу	обручился	V;FUT;1;SG	V;PST;SG;MASC	PARADIGM_ERROR
видим	виден	V;IMP;1;PL	V.PTCP;PASS;PST	C
пейте	пели	V;IMP;2;PL	V.CVB	PARADIGM_ERROR;TGT_SLOT_ERROR
звезду	звезда	N;DAT;SG	N;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
считает	считай	V;PRS;3;SG	N;ACC;SG	TGT_SLOT_ERROR
разбудить	разбудила	ADJ;GEN;FEM;SG	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
немой	немая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
хвалите	хвали	V;FUT;2;PL	V;IMP;2;SG	C
смешанный	смешанной	ADJ;NFIN	ADJ;GEN;FEM;SG	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
которого	которая	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
литой	литой	ADJ;NFIN	ADJ;ESS;FEM;SG	C
жертв	жертвы	N;NOM;SG	N;NOM;PL	C
Мал	Мать	ADJ;MASC;SG;LGSPEC1	ADJ;GEN;FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
возьмут	возьмем	V;FUT;3;PL	V;PRS;1;PL	TGT_SLOT_ERROR
чада	чадо	N;GEN;SG	N;ESS;SG	TGT_SLOT_ERROR
сторож	сторожам	N;NFIN	N;DAT;PL	C
светить	светило	V;NFIN	V;PST;SG;NEUT	C
заклясть	заклянут	V;NFIN	V;FUT;3;PL	C
страшного	страшился	ADJ;GEN;NEUT;SG	V;PST;SG;MASC	POS_PAIR_ERROR
насадить	насажу	V;NFIN	V;FUT;1;SG	C
вспоминали	вспоминать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
жилами	жили	N;INS;PL	N;NOM;PL	POS_PAIR_ERROR;TGT_SLOT_ERROR
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
носите	носился	V;FUT;2;PL	V;PST;SG;MASC	C
самом	самых	N;INS;SG	N;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
светить	светило	V;NFIN	V;PST;SG;NEUT	C
язык	языки	N;NFIN	N;ACC;INAN;PL	C
литой	литая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
горький	горек	ADJ;NFIN	ADJ;MASC;SG;LGSPEC1	C
поешь	по	V;PRS;2;SG	N;ACC;SG	POS_PAIR_ERROR;TGT_POS_ERROR
судился	судив	V;PST;SG;MASC	V.CVB;PST	POS_PAIR_ERROR
притворился	притвору	V;PST;SG;MASC	V;FUT;1;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
ночной	ночному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
