dæma	dæma
hvíldunum	hvíldunum
meltingar	meltingar
tyrkneskan	tyrkneskan
greinarnir	greinarnir
gráðu	gráðu
kysstir	kysstir
færði	færði
krossgátuna	krossgátuna
leyndi	leyndi
teikna	teikna
fuglafræðina	fuglafræðina
perlanna	perlanna
sósubletturinn	sósubletturinn
sérhljóðum	sérhljóðum
dæmin	dæmin
fetinu	fetinu
leyfis	leyfis
fermingu	fermingu
þægindi	þægindi
kontrafagott	kontrafagott
köngulónum	köngulónum
tæfu	tæfu
skottulækni	skottulækni
meiðsli	meiðsli
lax	lax
hlutunum	hlutunum
hrösuðum	hrösuðum
prentuðuð	prentuðuð
æðardúni	æðardúni
myndaði	myndaði
tár	tár
kílóin	kílóin
rífist	rífist
kvæntir	kvæntir
klappandi	klappandi
leikara	leikara
mörkunum	mörkunum
sléttsöngur	sléttsöngur
lausnin	lausnin
skrifar	skrifar
hross	hross
dans	dans
vestrar	vestrar
lifanda	lifanda
félaga	félaga
eðla	eðla
brottfara	brottfara
metinu	metinu
totta	totta
erfði	erfði
kynkvísla	kynkvísla
flettum	flettum
glas	glas
súrefnisskorturinn	súrefnisskorturinn
hryggðuð	hryggðuð
þjónustuna	þjónustuna
hef	hef
skrifuðuð	skrifuðuð
minnt	minnt
varalitanna	varalitanna
húsbóndanum	húsbóndanum
krakkið	krakkið
kennd	kennd
endurnýja	endurnýja
greinanna	greinanna
sælur	sælur
mynstra	mynstra
endurræsti	endurræsti
drottnið	drottnið
hnerri	hnerri
vífið	vífið
minni	minni
kinnaliti	kinnaliti
rauluðuð	rauluðuð
volað	volað
gaggaði	gaggaði
fjóla	fjóla
geddu	geddu
trú	trú
smalahundur	smalahundur
sjálfsmynd	sjálfsmynd
undantekið	undantekið
kenndin	kenndin
pats	pats
sagna	sagna
sokka	sokka
slúttað	slúttað
lið	lið
áfrýjuninni	áfrýjuninni
belgi	belgi
höfnun	höfnun
lofaði	lofaði
prentaði	prentaði
kjörfurstar	kjörfurstar
vegasalta	vegasalta
ranns	ranns
hagnýtti	hagnýtti
iðn	iðn
vendir	vendir
krossanna	krossanna
lénin	lénin
áfrýjunar	áfrýjunar
vanadínið	vanadínið
múslimarnir	múslimarnir
safni	safni
skrifið	skrifið
lífvörðurinn	lífvörðurinn
skammar	skammar
fórnum	fórnum
blóðflögum	blóðflögum
bismúts	bismúts
fjalir	fjalir
lakkað	lakkað
trúa	trúa
beinana	beinana
þerrir	þerrir
hröðlum	hröðlum
strandlengjum	strandlengjum
klæddum	klæddum
reið	reið
spektan	spektan
jörð	jörð
viðskiptavinunum	viðskiptavinunum
yfirheita	yfirheita
sparði	sparði
áfrýjandi	áfrýjandi
búninginn	búninginn
hjakkið	hjakkið
lýsið	lýsið
minnið	minnið
eyrað	eyrað
hitamælinn	hitamælinn
gess	gess
plokkaði	plokkaði
ljóðlistin	ljóðlistin
útisundlaugar	útisundlaugar
einræktað	einræktað
sandinn	sandinn
hryggið	hryggið
spjótkastinu	spjótkastinu
mynstrum	mynstrum
viðbjóðs	viðbjóðs
fylla	fylla
kokið	kokið
klæðandi	klæðandi
hálsum	hálsum
flokkarnir	flokkarnir
sápa	sápa
störf	störf
einstaklingurinn	einstaklingurinn
kúbeinunum	kúbeinunum
önnunum	önnunum
villimönnunum	villimönnunum
huldir	huldir
skapinu	skapinu
hryggi	hryggi
myndið	myndið
geimar	geimar
lifandann	lifandann
varaliðið	varaliðið
heddinu	heddinu
kyssi	kyssi
hrapsins	hrapsins
öðluðumst	öðluðumst
valdið	valdið
fjallgarð	fjallgarð
liðsins	liðsins
aukafallsliðinn	aukafallsliðinn
köngulóm	köngulóm
herstígvél	herstígvél
herpir	herpir
stigbreytingu	stigbreytingu
ráðin	ráðin
kontrafagottið	kontrafagottið
köfðu	köfðu
reiðin	reiðin
farsímanna	farsímanna
körtum	körtum
skini	skini
morgnanna	morgnanna
talsmaðurinn	talsmaðurinn
gjaldi	gjaldi
vestranum	vestranum
gjóði	gjóði
hellirinn	hellirinn
fiskinn	fiskinn
ax	ax
bagall	bagall
málum	málum
eign	eign
kastaði	kastaði
formönnunum	formönnunum
hryggja	hryggja
hryggðu	hryggðu
fær	fær
eðlum	eðlum
yfirheitunum	yfirheitunum
skammir	skammir
spurningarnar	spurningarnar
sátunni	sátunni
kætin	kætin
anganna	anganna
trúarjátningunni	trúarjátningunni
flokkum	flokkum
endarnir	endarnir
sent	sent
eignina	eignina
ungmennis	ungmennis
klæða	klæða
ökuleyfi	ökuleyfi
slúttir	slúttir
Jótlandið	Jótlandið
fýri	fýri
minningin	minningin
frumbyggja	frumbyggja
prúttuðuð	prúttuðuð
kalkúnum	kalkúnum
teið	teið
akademíunum	akademíunum
guðir	guðir
nafla	nafla
prenta	prenta
stækju	stækju
köngla	köngla
líkinu	líkinu
óskuðu	óskuðu
perlunum	perlunum
körfubolta	körfubolta
minnkaðir	minnkaðir
sídd	sídd
verðsins	verðsins
lífstykkið	lífstykkið
hneykið	hneykið
sjálfstraustið	sjálfstraustið
þekkingar	þekkingar
eiginmönnum	eiginmönnum
rétt	rétt
þerraði	þerraði
kostum	kostum
byggi	byggi
lúkka	lúkka
smóka	smóka
engin	engin
hrákann	hrákann
tískurnar	tískurnar
fletti	fletti
kysstuð	kysstuð
stunda	stunda
spilin	spilin
okkarínu	okkarínu
korkum	korkum
kontrabassann	kontrabassann
hellum	hellum
göfgar	göfgar
æfingunum	æfingunum
minnum	minnum
kúts	kúts
fyllti	fyllti
liði	liði
skrifi	skrifi
akademíu	akademíu
slyppu	slyppu
væli	væli
káetu	káetu
félögin	félögin
líki	líki
minnti	minnti
fiskum	fiskum
kúfinn	kúfinn
drunið	drunið
höf	höf
strætisvagninn	strætisvagninn
þol	þol
plógs	plógs
spítalinn	spítalinn
öxla	öxla
uxa	uxa
blessuðuð	blessuðuð
efldi	efldi
ýsu	ýsu
þakka	þakka
skírin	skírin
lýsingarorða	lýsingarorða
klippti	klippti
málið	málið
fundanna	fundanna
sekt	sekt
viskí	viskí
hafið	hafið
arfur	arfur
kefja	kefja
máluðuð	máluðuð
göfguðuð	göfguðuð
erfðafræði	erfðafræði
kantöturnar	kantöturnar
skipinu	skipinu
máluðum	máluðum
kross	kross
ungum	ungum
sátu	sátu
almætti	almætti
þökkum	þökkum
skjóti	skjóti
skipunum	skipunum
leyndu	leyndu
flettir	flettir
tónninn	tónninn
markið	markið
