искать	искало	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
выть	выи	ADJ;GEN;FEM;SG	N;ACC;PL	PARADIGM_ERROR;SRC_SLOT_ERROR
первом	первые	N;INS;SG	ADJ;ACC;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
чью	чье	V;PRS;1;SG	DET;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
благодарили	благодарите	V;PST;PL	V;FUT;2;PL	TGT_SLOT_ERROR
обрати	обратите	V;IMP;2;SG	V;FUT;2;PL	C
столом	столе	N;INS;SG	N;ESS;SG	C
молодом	молодая	N;INS;SG	ADJ;NOM;FEM;SG	C
отпустить	отпустили	V;NFIN	V;PST;PL	C
бросали	бросился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
вороной	воронам	ADJ;ESS;FEM;SG	N;DAT;PL	C
рассудите	рассудили	V;FUT;2;PL	V;PST;PL	C
познаем	познала	V;PRS;1;PL	ADJ;FEM;SG;LGSPEC1	TGT_SLOT_ERROR
исчислить	исчисли	V;NFIN	V;IMP;2;SG	C
положи	положить	V;IMP;2;SG	V;NFIN	C
да	дать	N;ACC;SG	ADJ;GEN;FEM;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_SLOT_ERROR
Кому	Ком	N;DAT;SG	N;NOM;SG	C
поспешив	поспешили	V.CVB;PST	V;PST;PL	C
малым	мал	ADJ;INS;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
заграждать	заграждай	ADJ;GEN;FEM;SG	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
главных	главы	ADJ;ESS;PL	V;IMP;2;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
страшился	страшные	V;PST;SG;MASC	ADJ;NOM;PL	POS_PAIR_ERROR
уходить	уходили	V;NFIN	V;PST;PL	C
сберегите	сбереги	V;FUT;2;PL	V;IMP;2;SG	C
обратила	обратился	V;PST;SG;FEM	V;PST;SG;MASC	PARADIGM_ERROR
другом	другая	N;INS;SG	ADJ;NOM;FEM;SG	TGT_POS_ERROR;TGT_SLOT_ERROR
передвигай	передвигает	N;ACC;SG	V;PRS;3;SG	C
считаете	считал	V;PRS;2;PL	ADJ;MASC;SG;LGSPEC1	TGT_SLOT_ERROR
представлять	представляла	ADJ;GEN;FEM;SG	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Благословите	Благослови	V;FUT;2;PL	V;IMP;2;SG	C
Словом	Слове	N;INS;SG	N;ESS;SG	C
читали	читать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
признают	признать	V;FUT;3;PL	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
покрывала	покрывало	ADJ;FEM;SG;LGSPEC1	V;PST;SG;NEUT	C
мыслите	мысли	V;FUT;2;PL	V;IMP;2;SG	C
сделали	сделала	V.CVB	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
лицом	лицо	N;INS;SG	N;ESS;SG	TGT_SLOT_ERROR
имея	имеете	V.CVB;PRS	V;PRS;2;PL	C
признают	признали	V;FUT;3;PL	V.CVB	TGT_SLOT_ERROR
одетый	одет	ADJ;ACC;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
твой	твоем	N;ACC;SG	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
второе	второй	ADJ;NOM;NEUT;SG	ADJ;ESS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
знаком	знакомые	N;NOM;SG	ADJ;ACC;PL	C
белые	белых	ADJ;ACC;PL	N;GEN;PL	C
заключите	заключен	V;FUT;2;PL	V.PTCP;PASS;PST	POS_PAIR_ERROR
приготовился	приготовили	V;PST;SG;MASC	V;PST;PL	PARADIGM_ERROR
пребывать	пребывали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
познаете	познают	V;PRS;2;PL	V;FUT;3;PL	C
заставить	заставили	V;NFIN	V;PST;PL	C
даруй	даруешь	N;ACC;SG	V;PRS;2;SG	C
избранным	избранное	ADJ;INS;MASC;SG	ADJ;NOM;NEUT;SG	C
рассеянный	рассеянных	ADJ;ACC;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
мала	малы	N;GEN;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
тьмы	тьме	N;NOM;PL	N;ESS;SG	C
