spannt	spanne	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
fragest	fraget	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
anders	ander	N;SG;COMPOUND	N;NOM;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
wart	warten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
baust	bauten	V;IND;PRS;2;SG	V;SBJV;PST;3;PL	C
war	waren	N;NOM;SG	N;DAT;PL	C
Wachen	Wachet	N;DAT;PL	V;SBJV;PRS;2;PL	C
verkaufst	verkaufte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
Befehle	Befehlen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Erben	Erbe	N;DAT;PL	V;SBJV;PRS;1;SG	C
verzweifelten	verzweifelt	N;DAT;PL	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
weine	weinest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
diese	diesen	V;SBJV;PRS;1;SG	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
jeden	jedem	N;DAT;PL	ADJ;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
pflanzte	pflanzet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
jeden	jeder	N;DAT;PL	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Buchen	Buche	N;DAT;PL	V;SBJV;PRS;1;SG	C
Trinket	Trinken	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
Wehr	Wehret	N;NOM;SG	V;SBJV;PRS;2;PL	C
baute	baust	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
gründen	gründe	N;DAT;PL	V;SBJV;PRS;1;SG	C
