затворили	затворив	V;PST;PL	V.CVB;PST	POS_PAIR_ERROR
роптали	роптать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
ввели	ввело	N;NOM;PL	N;ESS;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
вперед	впереди	N;ACC;SG	N;ACC;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
выслушайте	выслушали	V;IMP;2;PL	V.CVB	TGT_SLOT_ERROR
возвестится	возвести	PRN;DAT;3;SG	V;IMP;2;SG	SRC_LEXICAL_ERROR
почитали	почитай	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
проповедуйте	проповедуй	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
привился	привить	V;PST;SG;MASC	V;NFIN	PARADIGM_ERROR
немалую	немало	ADJ;ACC;FEM;SG	N;ESS;SG	TGT_SLOT_ERROR
литое	литых	ADJ;NOM;NEUT;SG	N;GEN;PL	TGT_SLOT_ERROR
написанные	написанного	ADJ;NOM;PL	ADJ;GEN;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
открывай	открывали	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
почитают	почитал	V;FUT;3;PL	ADJ;MASC;SG;LGSPEC1	TGT_SLOT_ERROR
малого	мал	ADJ;GEN;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
шестом	шестой	N;INS;SG	ADJ;ESS;FEM;SG	TGT_SLOT_ERROR
соделай	соделала	N;ACC;SG	ADJ;FEM;SG;LGSPEC1	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
Моем	Мои	V;PRS;1;PL	N;ACC;PL	TGT_SLOT_ERROR
никакой	никакая	ADJ;ESS;FEM;SG	ADJ;NOM;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
стереги	стерегла	N;ACC;PL	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
рождала	рождали	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
испекли	испеки	V.CVB	N;ACC;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
самую	самое	ADJ;ACC;FEM;SG	ADJ;NOM;NEUT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
самым	самой	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
развели	развей	V.CVB	N;ACC;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
воздайте	воздай	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
исцели	исцелился	V;IMP;2;SG	V;PST;SG;MASC	PARADIGM_ERROR
Самом	Самый	N;INS;SG	ADJ;ACC;MASC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
камнях	камнем	V;2;PL	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
отнят	отнятого	N;NOM;SG	ADJ;GEN;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
жил	жили	N;NOM;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
знакомых	знаком	N;GEN;PL	N;NOM;SG	TGT_SLOT_ERROR
принимайте	принимай	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
благословляй	благословлять	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
обветшала	обветшали	ADJ;FEM;SG;LGSPEC1	V.CVB	TGT_SLOT_ERROR
подняло	поднять	V;PST;SG;NEUT	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
поднята	поднято	N;GEN;SG	N;ESS;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
жилищу	жилищ	N;DAT;SG	N;NOM;SG	TGT_SLOT_ERROR
поселить	поселился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
потаенном	потаенных	N;INS;SG	N;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
унизили	унизился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
начинали	начинай	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
мал	мала	N;NOM;SG	N;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
сатаною	сатану	ADJ;INS;FEM;SG	N;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
