src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
котлом,котлу,2_14,N;INS;SG,2_19,N;DAT;SG,n;m;nn;sg;ins,n;m;nn;sg;dat,ERR_TGT_SLOT_ERROR
равниною,равнин,2_4,ADJ;INS;FEM;SG,2_18,N;NOM;SG,n;f;nn;sg;ins,n;f;nn;pl;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
жилищам,жилище,2_11,N;DAT;PL,2_0,N;ESS;SG,n;nt;nn;pl;dat - n;f;nn;pl;dat,n;nt;nn;sg;nom - n;nt;nn;sg;acc - n;nt;nn;sg;prp - n;f;nn;sg;dat - n;f;nn;sg;prp,ERR_TGT_SLOT_ERROR
жертвеннике,жертвенников,2_0,N;ESS;SG,2_1,N;GEN;PL,n;m;nn;sg;prp,n;m;nn;pl;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
утешился,утешает,0_18,V;PST;SG;MASC,0_14,PRN;DAT;2;SG,verb;perf;iv;past;m;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,ERR_TGT_SLOT_ERROR
холмов,холм,2_1,N;GEN;PL,2_18,N;NOM;SG,n;m;nn;pl;gen,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
розга,розги,2_6,N;GEN;SG,2_3,N;NOM;PL,n;f;nn;sg;nom,n;f;nn;sg;gen - n;f;nn;pl;acc - n;f;nn;pl;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
пороки,пороками,2_3,N;NOM;PL,2_17,N;INS;PL,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;pl;ins,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
угождении,угождение,0_5,PRN;PL,0_7,PRN;INS;PL,n;nt;nn;sg;prp,n;nt;nn;sg;nom - n;nt;nn;sg;acc,ERR_TGT_SLOT_ERROR
Тит,Тита,2_18,N;NOM;SG,2_6,N;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ночные,ночное,0_21,ADJ;NOM;PL,0_3,ADJ;ACC;NEUT;SG,n;nt;nn;pl;acc - n;nt;nn;pl;nom - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,n;nt;nn;sg;acc - n;nt;nn;sg;nom - adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
раздавить,раздавал,0_31,V;NFIN,0_4,PRN;NOM;3;SG,verb;perf;tv;inf - verb;perf;iv;inf,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,ERR_TGT_SLOT_ERROR
умышляли,умышляют,1_6,V.CVB,1_0,V;FUT;3;PL,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,ERR_TGT_SLOT_ERROR
пропустил,пропустил,1_4,ADJ;MASC;SG;LGSPEC1,1_4,ADJ;MASC;SG;LGSPEC1,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
идут,идете,1_0,V;FUT;3;PL,1_19,V;PRS;2;PL,verb;impf;iv;pres;p3;pl,verb;impf;iv;pres;p2;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Ноеминь,Ноемини,1_1,N;ACC;SG,1_22,N;ACC;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
свидетелей,свидетелем,1_18,DET;DAT;SG,1_13,V;PRS;1;PL,n;m;aa;pl;gen - n;m;aa;pl;acc,n;m;aa;sg;ins,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
извини,извинения,0_1,V;IMP;2;SG,0_11,DET;ACC;PL,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,ERR_TGT_SLOT_ERROR
которой,которых,2_2,ADJ;ESS;FEM;SG,2_1,N;GEN;PL,prn;rel;f;an;sg;gen - prn;rel;f;an;sg;dat - prn;rel;f;an;sg;prp - prn;rel;f;an;sg;ins - det;itg;f;an;sg;gen - det;itg;f;an;sg;dat - det;itg;f;an;sg;prp - det;itg;f;an;sg;ins,prn;rel;mfn;an;pl;gen - prn;rel;mfn;an;pl;prp - prn;rel;mfn;aa;pl;acc - det;itg;mfn;an;pl;gen - det;itg;mfn;an;pl;prp - det;itg;mfn;aa;pl;acc,SRC_SLOT_ERROR;TGT_SLOT_ERROR
немалое,немалую,2_15,ADJ;NOM;NEUT;SG,2_13,ADJ;ACC;FEM;SG,adj;nt;an;sg;nom - adj;nt;an;sg;acc,adj;f;an;sg;acc - adj;f;nn;sg;acc,ERR_SRC_SLOT_ERROR
приходят,приходить,0_29,V;PRS;3;PL,0_31,V;NFIN,verb;impf;iv;pres;p3;pl,verb;impf;iv;inf,ERR_SRC_SLOT_ERROR
расставляется,расставляют,1_12,PRN;NOM;2;SG,1_0,V;FUT;3;PL,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
буйволы,буйвол,2_3,N;NOM;PL,2_18,N;NOM;SG,n;m;aa;pl;nom,n;m;aa;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
рубин,рубинами,2_18,N;NOM;SG,2_17,N;INS;PL,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,n;m;nn;pl;ins,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
